Country,Year,CO2Emissions,PowerConsumption,FertilityRate,
 InternetUsagePer1000, LifeExpectancy, Population
 Belarus,2000,5.91,2988.71,1.29,18.69,68.01,1.00E+07
 Belarus,2001,5.87,2996.81,,43.15,,9970260
 Belarus,2002,6.03,2982.77,1.25,89.8,68.21,9925000
 ...
 Philippines,2000,1.03,514.02,,20.33,69.53,7.58E+07
 Philippines,2001,0.99,535.18,,25.89,,7.72E+07
 Philippines,2002,0.99,539.74,3.5,44.47,70.19,7.87E+07
 ...
 Morocco,2000,1.2,489.04,2.62,7.03,68.81,2.85E+07
 Morocco,2001,1.32,508.1,2.5,13.87,,2.88E+07
 Morocco,2002,1.32,526.4,2.5,23.99,69.48,2.92E+07